,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG


INTERNET, Retail Price ($ per pair), , 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, , 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, , 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, , 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, , 
  SEGMENT, Search Engine Advert. ($000s), , 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, , 4500, 4500, 4500, 4500, 4500, 4500, 4500, 4500, 4500, 4500, 4500, 4500, 4500, , 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, , 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, , 
, Free Shipping, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, S/Q Rating (1 to 10 stars), , 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , 
, Model Availability, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, , 
, Brand Advertising ($000s), , 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, , 9000, 9000, 9000, 9000, 9000, 9000, 9000, 9000, 9000, 9000, 9000, 9000, 9000, , 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, , 7500, 7500, 7500, 7500, 7500, 7500, 7500, 7500, 7500, 7500, 7500, 7500, 7500, , 
, Celebrity Appeal, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
