,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG


INTERNET, Retail Price ($ per pair), , 108, 105, 104, 112, 109, 0, 0, 0, 0, 0, 0, 0, 107.6, , 110, 108, 104, 112, 113, 0, 0, 0, 0, 0, 0, 0, 109.4, , 103, 104, 105, 107, 107, 0, 0, 0, 0, 0, 0, 0, 105.2, , 108.9, 109, 107, 110, 110, 0, 0, 0, 0, 0, 0, 0, 108.98, , 
  SEGMENT, Search Engine Advert. ($000s), , 13500, 12000, 13250, 13000, 13250, 0, 0, 0, 0, 0, 0, 0, 13000, , 13000, 15000, 13000, 13000, 13500, 0, 0, 0, 0, 0, 0, 0, 13500, , 12000, 12000, 9000, 11000, 11500, 0, 0, 0, 0, 0, 0, 0, 11100, , 10500, 9000, 8000, 11000, 10500, 0, 0, 0, 0, 0, 0, 0, 9800, , 
, Free Shipping, , 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, , 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0.8, , 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, , 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0.8, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, S/Q Rating (1 to 10 stars), , 6.2, 5.4, 6.7, 7.5, 7.4, 0, 0, 0, 0, 0, 0, 0, 6.6, , 6.6, 4.9, 6.7, 7.5, 7.7, 0, 0, 0, 0, 0, 0, 0, 6.7, , 6.3, 4.9, 6.7, 7.5, 7.7, 0, 0, 0, 0, 0, 0, 0, 6.6, , 6.8, 5, 6.6, 7.5, 7.7, 0, 0, 0, 0, 0, 0, 0, 6.7, , 
, Model Availability, , 349.8, 478.3, 399.2, 491.3, 345.5, 0, 0, 0, 0, 0, 0, 0, 413, , 349.6, 398.4, 399.6, 486.2, 390, 0, 0, 0, 0, 0, 0, 0, 405, , 350, 474.4, 399.7, 490.7, 392.7, 0, 0, 0, 0, 0, 0, 0, 422, , 349.8, 424.1, 399.6, 492.2, 351.8, 0, 0, 0, 0, 0, 0, 0, 404, , 
, Brand Advertising ($000s), , 16000, 12000, 12000, 16000, 15000, 0, 0, 0, 0, 0, 0, 0, 14200, , 16000, 16000, 12000, 10000, 16500, 0, 0, 0, 0, 0, 0, 0, 14100, , 15500, 5000, 10000, 16000, 16000, 0, 0, 0, 0, 0, 0, 0, 12500, , 15000, 10000, 10000, 14000, 15000, 0, 0, 0, 0, 0, 0, 0, 12800, , 
, Celebrity Appeal, , 145, 75, 0, 170, 100, 0, 0, 0, 0, 0, 0, 0, 98, , 110, 80, 0, 170, 135, 0, 0, 0, 0, 0, 0, 0, 99, , 160, 95, 0, 135, 120, 0, 0, 0, 0, 0, 0, 0, 102, , 105, 60, 0, 130, 195, 0, 0, 0, 0, 0, 0, 0, 98, , 
