,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG


INTERNET, Retail Price ($ per pair), , 95, 90, 93, 99, 97, 0, 0, 0, 0, 0, 0, 0, 94.8, , 98.5, 100, 96, 104, 101, 0, 0, 0, 0, 0, 0, 0, 99.9, , 89, 90, 89, 97, 93, 0, 0, 0, 0, 0, 0, 0, 91.6, , 92, 100, 89, 105, 99, 0, 0, 0, 0, 0, 0, 0, 97, , 
  SEGMENT, Search Engine Advert. ($000s), , 9000, 4000, 10500, 13000, 7750, 0, 0, 0, 0, 0, 0, 0, 8850, , 8000, 8500, 10500, 8250, 7500, 0, 0, 0, 0, 0, 0, 0, 8550, , 6000, 3000, 6000, 8000, 5500, 0, 0, 0, 0, 0, 0, 0, 5700, , 5000, 4000, 6000, 7500, 5000, 0, 0, 0, 0, 0, 0, 0, 5500, , 
, Free Shipping, , 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.4, , 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4, , 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.4, , 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, S/Q Rating (1 to 10 stars), , 5, 5.8, 5.8, 5.3, 6.3, 0, 0, 0, 0, 0, 0, 0, 5.6, , 4.8, 5.4, 5.7, 5.6, 6.5, 0, 0, 0, 0, 0, 0, 0, 5.6, , 4.8, 5.2, 5.7, 5.7, 6.5, 0, 0, 0, 0, 0, 0, 0, 5.6, , 5, 5.8, 5.8, 5.6, 6.3, 0, 0, 0, 0, 0, 0, 0, 5.7, , 
, Model Availability, , 199.9, 297.8, 249.8, 200, 250, 0, 0, 0, 0, 0, 0, 0, 240, , 200, 299.4, 250, 191.4, 249.9, 0, 0, 0, 0, 0, 0, 0, 238, , 200, 294.5, 249.7, 200, 249.9, 0, 0, 0, 0, 0, 0, 0, 239, , 200, 299.7, 250, 200, 250, 0, 0, 0, 0, 0, 0, 0, 240, , 
, Brand Advertising ($000s), , 18000, 4000, 14000, 15000, 13000, 0, 0, 0, 0, 0, 0, 0, 12800, , 15000, 10000, 14000, 10000, 13500, 0, 0, 0, 0, 0, 0, 0, 12500, , 16000, 3500, 8000, 15000, 12500, 0, 0, 0, 0, 0, 0, 0, 11000, , 9000, 12000, 8000, 10000, 10000, 0, 0, 0, 0, 0, 0, 0, 9800, , 
, Celebrity Appeal, , 85, 110, 60, 175, 60, 0, 0, 0, 0, 0, 0, 0, 98, , 65, 185, 50, 150, 45, 0, 0, 0, 0, 0, 0, 0, 99, , 60, 130, 60, 160, 100, 0, 0, 0, 0, 0, 0, 0, 102, , 40, 155, 95, 135, 65, 0, 0, 0, 0, 0, 0, 0, 98, , 
