,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG


INTERNET, Retail Price ($ per pair), , 90, 94, 109, 106, 101, 0, 0, 0, 0, 0, 0, 0, 100, , 98.5, 100, 115, 109, 106, 0, 0, 0, 0, 0, 0, 0, 105.7, , 88.5, 90, 105, 100, 101, 0, 0, 0, 0, 0, 0, 0, 96.9, , 92, 100, 105, 105, 104, 0, 0, 0, 0, 0, 0, 0, 101.2, , 
  SEGMENT, Search Engine Advert. ($000s), , 8000, 6000, 14000, 13000, 9500, 0, 0, 0, 0, 0, 0, 0, 10100, , 8000, 12000, 14500, 8250, 9000, 0, 0, 0, 0, 0, 0, 0, 10350, , 6000, 5000, 8000, 10000, 7000, 0, 0, 0, 0, 0, 0, 0, 7200, , 5000, 6000, 8000, 10000, 6000, 0, 0, 0, 0, 0, 0, 0, 7000, , 
, Free Shipping, , 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.6, , 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6, , 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.6, , 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.8, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, S/Q Rating (1 to 10 stars), , 5.5, 5.8, 6.4, 6.3, 6.3, 0, 0, 0, 0, 0, 0, 0, 6.1, , 5.1, 5.5, 6.2, 6, 6.5, 0, 0, 0, 0, 0, 0, 0, 5.9, , 5.1, 5.3, 6.2, 5.9, 6.7, 0, 0, 0, 0, 0, 0, 0, 5.8, , 5.4, 5.8, 6.3, 6.2, 6, 0, 0, 0, 0, 0, 0, 0, 5.9, , 
, Model Availability, , 244.2, 299.9, 297.9, 249, 250, 0, 0, 0, 0, 0, 0, 0, 268, , 279.9, 300, 297.5, 213.2, 250, 0, 0, 0, 0, 0, 0, 0, 268, , 345.4, 299, 298.6, 200, 250, 0, 0, 0, 0, 0, 0, 0, 279, , 203.4, 300, 224.9, 203.6, 250, 0, 0, 0, 0, 0, 0, 0, 236, , 
, Brand Advertising ($000s), , 18000, 4000, 18000, 15000, 15000, 0, 0, 0, 0, 0, 0, 0, 14000, , 20000, 12000, 17000, 9000, 14000, 0, 0, 0, 0, 0, 0, 0, 14400, , 16000, 5000, 11000, 15000, 14000, 0, 0, 0, 0, 0, 0, 0, 12200, , 15000, 12000, 11000, 12000, 10500, 0, 0, 0, 0, 0, 0, 0, 12100, , 
, Celebrity Appeal, , 0, 40, 60, 160, 230, 0, 0, 0, 0, 0, 0, 0, 98, , 0, 85, 50, 145, 215, 0, 0, 0, 0, 0, 0, 0, 99, , 0, 60, 60, 155, 235, 0, 0, 0, 0, 0, 0, 0, 102, , 0, 100, 95, 100, 195, 0, 0, 0, 0, 0, 0, 0, 98, , 
