,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG


INTERNET, Retail Price ($ per pair), , 96, 100, 104, 109, 107, 0, 0, 0, 0, 0, 0, 0, 103.2, , 107, 107, 104, 122.5, 110, 0, 0, 0, 0, 0, 0, 0, 110.1, , 100, 97, 103, 104, 107, 0, 0, 0, 0, 0, 0, 0, 102.2, , 104, 101, 103, 110.5, 107, 0, 0, 0, 0, 0, 0, 0, 105.1, , 
  SEGMENT, Search Engine Advert. ($000s), , 10000, 10000, 13250, 13000, 14000, 0, 0, 0, 0, 0, 0, 0, 12050, , 10000, 15000, 13000, 11000, 12750, 0, 0, 0, 0, 0, 0, 0, 12350, , 8000, 5000, 7500, 10000, 11000, 0, 0, 0, 0, 0, 0, 0, 8300, , 8000, 6000, 7750, 10000, 10000, 0, 0, 0, 0, 0, 0, 0, 8350, , 
, Free Shipping, , 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.6, , 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.6, , 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.8, , 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.8, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, S/Q Rating (1 to 10 stars), , 5.9, 5.3, 6.5, 7, 6.4, 0, 0, 0, 0, 0, 0, 0, 6.2, , 5.9, 4.9, 6.6, 6.9, 6.6, 0, 0, 0, 0, 0, 0, 0, 6.2, , 5.7, 4.5, 6.6, 7, 6.6, 0, 0, 0, 0, 0, 0, 0, 6.1, , 6.1, 4.7, 6.4, 6.9, 6.4, 0, 0, 0, 0, 0, 0, 0, 6.1, , 
, Model Availability, , 308.1, 335.1, 349, 250, 250, 0, 0, 0, 0, 0, 0, 0, 298, , 340.3, 342.7, 348.8, 247.7, 250, 0, 0, 0, 0, 0, 0, 0, 306, , 349.2, 381.5, 348.6, 248.9, 250, 0, 0, 0, 0, 0, 0, 0, 316, , 323.7, 377.6, 339, 247.2, 250, 0, 0, 0, 0, 0, 0, 0, 308, , 
, Brand Advertising ($000s), , 15000, 4000, 14000, 15000, 16500, 0, 0, 0, 0, 0, 0, 0, 12900, , 16000, 14000, 15000, 14000, 16000, 0, 0, 0, 0, 0, 0, 0, 15000, , 14000, 5000, 9000, 15000, 16500, 0, 0, 0, 0, 0, 0, 0, 11900, , 15000, 14000, 9000, 12000, 13500, 0, 0, 0, 0, 0, 0, 0, 12700, , 
, Celebrity Appeal, , 60, 135, 0, 85, 210, 0, 0, 0, 0, 0, 0, 0, 98, , 45, 130, 0, 65, 255, 0, 0, 0, 0, 0, 0, 0, 99, , 100, 155, 0, 60, 195, 0, 0, 0, 0, 0, 0, 0, 102, , 65, 155, 0, 40, 230, 0, 0, 0, 0, 0, 0, 0, 98, , 
