,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG


INTERNET, Retail Price ($ per pair), , 85, 89, 87, 95, 95, 0, 0, 0, 0, 0, 0, 0, 90.2, , 85, 99, 90, 100, 98, 0, 0, 0, 0, 0, 0, 0, 94.4, , 84, 89, 84, 90, 91, 0, 0, 0, 0, 0, 0, 0, 87.6, , 86, 99, 84, 105, 93, 0, 0, 0, 0, 0, 0, 0, 93.4, , 
  SEGMENT, Search Engine Advert. ($000s), , 9000, 5500, 8000, 7500, 6000, 0, 0, 0, 0, 0, 0, 0, 7200, , 8000, 5000, 8000, 4000, 6500, 0, 0, 0, 0, 0, 0, 0, 6300, , 6000, 3000, 4500, 6000, 4500, 0, 0, 0, 0, 0, 0, 0, 4800, , 4000, 1000, 4500, 6000, 4000, 0, 0, 0, 0, 0, 0, 0, 3900, , 
, Free Shipping, , 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.6, , 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4, , 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.6, , 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.4, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, S/Q Rating (1 to 10 stars), , 5, 5.3, 5.8, 5.3, 6.3, 0, 0, 0, 0, 0, 0, 0, 5.5, , 4.6, 5.3, 5.7, 5.4, 6.1, 0, 0, 0, 0, 0, 0, 0, 5.4, , 4.6, 4.9, 5.7, 5.5, 6.1, 0, 0, 0, 0, 0, 0, 0, 5.4, , 4.9, 5, 5.8, 5.4, 6.3, 0, 0, 0, 0, 0, 0, 0, 5.5, , 
, Model Availability, , 198.4, 244.9, 244.4, 200, 249.9, 0, 0, 0, 0, 0, 0, 0, 228, , 200, 287.6, 248.5, 150.3, 248.7, 0, 0, 0, 0, 0, 0, 0, 227, , 200, 272.4, 245.2, 150.1, 248.2, 0, 0, 0, 0, 0, 0, 0, 223, , 198.8, 289.6, 249, 180.4, 249.8, 0, 0, 0, 0, 0, 0, 0, 234, , 
, Brand Advertising ($000s), , 18000, 3500, 14000, 15000, 12000, 0, 0, 0, 0, 0, 0, 0, 12500, , 18000, 10000, 14000, 10000, 12000, 0, 0, 0, 0, 0, 0, 0, 12800, , 16000, 3000, 8000, 15000, 11500, 0, 0, 0, 0, 0, 0, 0, 10700, , 9000, 12000, 8000, 10000, 9000, 0, 0, 0, 0, 0, 0, 0, 9600, , 
, Celebrity Appeal, , 85, 110, 0, 175, 60, 0, 0, 0, 0, 0, 0, 0, 86, , 65, 185, 0, 150, 45, 0, 0, 0, 0, 0, 0, 0, 89, , 60, 130, 0, 160, 100, 0, 0, 0, 0, 0, 0, 0, 90, , 40, 155, 0, 135, 65, 0, 0, 0, 0, 0, 0, 0, 79, , 
